run_num,run_info,total_seconds,imports,initial_data_load,cached_data_load,sidebar_filtering,watchlist_tab,diary_tab,stats_tab,year_tab,genre_tab,director_tab,actor_tab,collections_tab,filmid_lookup_tab
1,unoptimised,20.511208534240723,0.0010042190551757,18.636555194854736,,0.5363216400146484,0.4717557430267334,0.0810058116912841,0.1048688888549804,0.1197171211242675,0.0511870384216308,0.1814074516296386,0.2810502052307129,0.0090832710266113,0.0352423191070556
2,unoptimised,2.202831745147705,0.0,,0.0,0.5823452472686768,0.5728774070739746,0.116905927658081,0.1143004894256591,0.177502155303955,0.0641472339630127,0.2549977302551269,0.2806329727172851,0.0045785903930664,0.033543586730957
3,unoptimised,1.9033794403076167,0.0,,0.0,0.6044676303863525,0.4157261848449707,0.0629446506500244,0.1003403663635253,0.145599365234375,0.0422439575195312,0.1911604404449463,0.2972421646118164,0.0055100917816162,0.035032033920288
4,unoptimised,1.799806833267212,0.0,,0.0,0.5445234775543213,0.338625431060791,0.060046911239624,0.1667361259460449,0.1502199172973632,0.0372760295867919,0.1905488967895507,0.2757155895233154,0.0050036907196044,0.0279879570007324
5,unoptimised,1.6922459602355957,0.0,,0.0,0.541090726852417,0.3283114433288574,0.0643458366394043,0.0882930755615234,0.1105120182037353,0.0358462333679199,0.1856875419616699,0.292233943939209,0.0095164775848388,0.0344018936157226
6,unoptimised,1.7722129821777344,0.0,,0.0,0.5962574481964111,0.3831236362457275,0.0648310184478759,0.0869293212890625,0.1163933277130127,0.0337662696838378,0.1981914043426513,0.2598683834075928,0.0039982795715332,0.0258162021636962
7,unoptimised,1.794764280319214,0.0,,0.0009999275207519,0.5854027271270752,0.3379437923431396,0.0647408962249755,0.0977289676666259,0.1244301795959472,0.0389723777770996,0.1856918334960937,0.3094594478607178,0.0065891742706298,0.0391366481781005
8,unoptimised,1.98395037651062,0.0,,0.0,0.6923978328704834,0.3337724208831787,0.0671033859252929,0.1278338432312011,0.1235356330871582,0.0372931957244873,0.1944749355316162,0.3558254241943359,0.007596731185913,0.0400755405426025
9,remove side bar sliders,2.052206516265869,0.0,,0.0,0.57393479347229,0.3530044555664062,0.0609314441680908,0.1341280937194824,0.1469919681549072,0.0384187698364257,0.2679543495178222,0.4400110244750976,0.0047264099121093,0.0290999412536621
10,remove side bar sliders,22.02694058418274,0.0010013580322265,20.101137161254883,,0.5563793182373047,0.5135736465454102,0.0832662582397461,0.0945994853973388,0.114105224609375,0.0399675369262695,0.1868722438812255,0.3008053302764892,0.0040614604949951,0.0281717777252197
11,remove side bar sliders,1.9994261264801023,0.0,,0.0010011196136474,0.5785117149353027,0.5301513671875,0.0808632373809814,0.0994830131530761,0.1181488037109375,0.036741018295288,0.1984663009643554,0.3158426284790039,0.0040111541748046,0.0335757732391357
12,remove side bar sliders,1.8253521919250488,0.0,,0.0,0.5921521186828613,0.3782758712768554,0.0604443550109863,0.0928390026092529,0.1260187625885009,0.0398585796356201,0.1912527084350586,0.3071620464324951,0.0055625438690185,0.0292377471923828
13,remove side bar sliders,1.7713444232940674,0.0,,0.0,0.5400221347808838,0.341949462890625,0.0620753765106201,0.0896458625793457,0.1352076530456543,0.0590705871582031,0.1937093734741211,0.3040947914123535,0.0050048828125,0.0385644435882568
14,remove side bar sliders,1.7431178092956543,0.0,,0.0,0.5490636825561523,0.3301186561584472,0.0704391002655029,0.0910794734954834,0.1113364696502685,0.038114309310913,0.1865150928497314,0.314486026763916,0.0090525150299072,0.0399372577667236
15,algo scores to initial load,21.065261840820312,0.0,19.56146669387817,,0.0552723407745361,0.4765801429748535,0.0919125080108642,0.1183104515075683,0.1200006008148193,0.0493881702423095,0.2024171352386474,0.3572349548339844,0.0055134296417236,0.0256538391113281
16,algo scores to initial load,1.3434667587280271,0.0,,0.0,0.0332338809967041,0.3989441394805908,0.0712909698486328,0.0921862125396728,0.1173393726348877,0.047229528427124,0.2252817153930664,0.3110189437866211,0.0055408477783203,0.0383813381195068
17,algo scores to initial load,1.2671880722045898,0.0,,0.0,0.0230545997619628,0.3736238479614258,0.0697131156921386,0.0894055366516113,0.1490330696105957,0.0374233722686767,0.1815874576568603,0.2892565727233886,0.0070154666900634,0.0450689792633056
18,algo scores to initial load,1.2784159183502195,0.0,,0.0,0.040712833404541,0.3484578132629394,0.0808393955230712,0.0902767181396484,0.1280169486999511,0.0562758445739746,0.2151286602020263,0.2804923057556152,0.0039644241333007,0.0311269760131835
19,algo scores to initial load,1.201960563659668,0.0,,0.0005395412445068,0.029465913772583,0.3573799133300781,0.06675386428833,0.0922653675079345,0.1117558479309082,0.0362770557403564,0.1847281455993652,0.2740778923034668,0.0061573982238769,0.0396106243133544
20,algo scores to initial load,1.2942571640014648,0.0,,0.0,0.0340833663940429,0.3207242488861084,0.0691566467285156,0.0985515117645263,0.1200823783874511,0.0369641780853271,0.1937425136566162,0.3854501247406006,0.004969835281372,0.0285120010375976
21,algo scores to initial load,1.2772350311279297,0.0,,0.0010263919830322,0.0191695690155029,0.3931009769439697,0.0588574409484863,0.0962316989898681,0.1232106685638427,0.0373420715332031,0.1942090988159179,0.315469741821289,0.0060007572174072,0.0316419601440429
22,algo scores to initial load,1.205651044845581,0.0,,0.0,0.0255322456359863,0.3474338054656982,0.0674817562103271,0.0950219631195068,0.1104676723480224,0.0381276607513427,0.186474323272705,0.2818789482116699,0.0079994201660156,0.0431046485900878
